what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299490871253
java.specification.version,sysinfo,,,"1.6",1299490871253
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1299490871253
java.version,sysinfo,,,"1.6.0_18",1299490871253
java.vm.info,sysinfo,,,"mixed mode, sharing",1299490871253
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299490871253
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299490871253
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299490871253
java.vm.specification.version,sysinfo,,,"1.0",1299490871253
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299490871253
java.vm.version,sysinfo,,,"16.0-b13",1299490871253
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490872610
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490873731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490874848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490945985
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490955131
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490973865
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299490979731
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299491008966
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299491023217
stopped,bundle,ZipEditor,1.0.8,"ZipEditor",1299491023631
stopped,bundle,org.eclipse.mtj.jmunit,1.0.1.v200909181641,"org.eclipse.mtj.jmunit",1299491023632
stopped,bundle,jmunit.framework,1.2.1.v200909181641,"jmunit.framework",1299491023633
stopped,bundle,org.eclipse.mtj.toolkit.microemu,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.microemu",1299491023634
stopped,bundle,org.eclipse.mtj.toolkit.mpowerplayer,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.mpowerplayer",1299491023635
stopped,bundle,org.eclipse.mtj.toolkit.nokia,1.0.0.v200909181641,"org.eclipse.mtj.toolkit.nokia",1299491023635
stopped,bundle,org.eclipse.mtj.toolkit.uei,1.0.1.v200909181641,"org.eclipse.mtj.toolkit.uei",1299491023636
stopped,bundle,org.eclipse.mtj.eswt.templates,1.0.0.v200909181641,"org.eclipse.mtj.eswt.templates",1299491023637
stopped,bundle,org.eclipse.mtj.ui,1.1.0.v200909181641,"org.eclipse.mtj.ui",1299491023637
stopped,bundle,org.eclipse.mtj.core,1.1.0.v200909181641,"org.eclipse.mtj.core",1299491023638
stopped,bundle,org.eclipse.ecf.provider.r_osgi,3.0.0.v20090916-2238,"org.eclipse.ecf.provider.r_osgi",1299491023638
stopped,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC4_v20090916-2238,"ch.ethz.iks.r_osgi.remote",1299491023638
stopped,bundle,org.eclipse.ecf.provider.jslp,3.0.0.v20090916-2238,"org.eclipse.ecf.provider.jslp",1299491023710
stopped,bundle,ch.ethz.iks.slp,1.1.0.v20090916-2238,"ch.ethz.iks.slp",1299491023711
stopped,bundle,org.eclipse.team.ecf.ui,1.0.0.v20090916-2238,"org.eclipse.team.ecf.ui",1299491023711
stopped,bundle,org.eclipse.team.ecf.core,1.0.0.v20090916-2238,"org.eclipse.team.ecf.core",1299491023711
stopped,bundle,com.instantiations.designer.rcp.SWT_AWT,8.0.0.r35x201009160651,"com.instantiations.designer.rcp.SWT_AWT",1299491023711
stopped,bundle,com.instantiations.designer.swing.FormLayout,8.0.0.r35x201009160643,"com.instantiations.designer.swing.FormLayout",1299491023712
stopped,bundle,com.instantiations.designer.swing.LookAndFeel,8.0.0.r35x201009160643,"com.instantiations.designer.swing.LookAndFeel",1299491023713
stopped,bundle,com.instantiations.designer.swing.MigLayout,8.0.0.r35x201009160643,"com.instantiations.designer.swing.MigLayout",1299491023714
